"scientific_name","common_name","source"
"Chlorurus gibbus","parrotfish","FDA The Seafood List, 2023/07/21"
"Chlorurus perspicillatus","parrotfish","FDA The Seafood List, 2023/07/21"
"Chondracris rosea","grasshopper","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Cicadidae","true cicadas","JZ"
"Cichla orinocensis","cichlid","FDA The Seafood List, 2023/07/21"
"Ciliata septentrionalis","rockling","FDA The Seafood List, 2023/07/21"
"Cilus gilberti","corvina","FDA The Seafood List, 2023/07/21"
"Cipangopaludina chinensis","snail","FDA The Seafood List, 2023/07/21"
"Citharichthys","sanddab","JL"
"Citharichthys sordidus","sanddab","FDA The Seafood List, 2023/07/21"
"Clarias anguillaris","clarias fish","FDA The Seafood List, 2023/07/21"
"Clarias gariepinus x Clarias macrocephalus","clarias fish","FDA The Seafood List, 2023/07/21"
"Cleisthenes pinetorum","flounder","FDA The Seafood List, 2023/07/21"
"Clinocardium californiense","cockle","FDA The Seafood List, 2023/07/21"
"Clinocardium nuttallii","cockle","FDA The Seafood List, 2023/07/21"
"Clupea bentincki","herrring","FDA The Seafood List, 2023/07/21"
"Clupeidae","herring","JL"
"Coilia ramcarati","anchovy","FDA The Seafood List, 2023/07/21"
"Colistium guntheri","flounder","FDA The Seafood List, 2023/07/21"
"Concholepas concholepas","loco","JL"
"Conger cinereus marginatus","conger eel","FDA The Seafood List, 2023/07/21"
"Conger oligoporus","conger eel","FDA The Seafood List, 2023/07/21"
"Congiopodus leucopaecilus","racehorse","FDA The Seafood List, 2023/07/21"
"Coregonus","whitefish","JL"
"Coregonus alpenae","cisco","FDA The Seafood List, 2023/07/21"
"Coregonus kiyi","chub","FDA The Seafood List, 2023/07/21"
"Coregonus pidschian","whitefish","FDA The Seafood List, 2023/07/21"
"Coregonus reighardi","cisco","FDA The Seafood List, 2023/07/21"
"Corica soborna","sprat","FDA The Seafood List, 2023/07/21"
"Corvula batabana","croaker","FDA The Seafood List, 2023/07/21"
"Corvula sanctaeluciae","croaker","FDA The Seafood List, 2023/07/21"
"Crangon crangon","shrimp","FDA The Seafood List, 2023/07/21"
"Crangon franciscorum","california shrimp","FDA The Seafood List, 2023/07/21"
"Crangon septemspinosa","shrimp","FDA The Seafood List, 2023/07/21"
"Crassostrea angulata","oyster","FDA The Seafood List, 2023/07/21"
"Crassostrea chilensis","oyster","FDA The Seafood List, 2023/07/21"
"Crassostrea gigas","pacific cupped oyster","BP"
"Crassostrea gigas kumamoto","oyster","FDA The Seafood List, 2023/07/21"
"Crassostrea glomerata","oyster","FDA The Seafood List, 2023/07/21"
"Crassostrea skiamea","oyster","FDA The Seafood List, 2023/07/21"
"Crassostrea virginica","american cupped oyster","FAO Cultured Aquatic Species Fact Sheets"
"Crenimugil crenilabis","mullet","FDA The Seafood List, 2023/07/21"
"Crepidula fornicata","slipperysnail","FDA The Seafood List, 2023/07/21"
"Crocothemis servilia","scarlet skimmer dragonfly","BP"
